INFO - Input manager thread started
DEBUG - x, y, index, #cells, 31, 16, 1311, 4000
DEBUG - x, y, index, #cells, 30, 16, 1310, 4000
DEBUG - x, y, index, #cells, 30, 17, 1390, 4000
DEBUG - x, y, index, #cells, 31, 17, 1391, 4000
DEBUG - x, y, index, #cells, 31, 18, 1471, 4000
DEBUG - x, y, index, #cells, 31, 19, 1551, 4000
DEBUG - x, y, index, #cells, 31, 20, 1631, 4000
DEBUG - x, y, index, #cells, 31, 19, 1551, 4000
DEBUG - x, y, index, #cells, 32, 19, 1552, 4000
DEBUG - x, y, index, #cells, 32, 18, 1472, 4000
DEBUG - x, y, index, #cells, 32, 17, 1392, 4000
DEBUG - x, y, index, #cells, 32, 16, 1312, 4000
DEBUG - x, y, index, #cells, 33, 16, 1313, 4000
DEBUG - x, y, index, #cells, 34, 16, 1314, 4000
DEBUG - x, y, index, #cells, 34, 17, 1394, 4000
DEBUG - x, y, index, #cells, 35, 17, 1395, 4000
DEBUG - x, y, index, #cells, 36, 17, 1396, 4000
DEBUG - x, y, index, #cells, 35, 16, 1315, 4000
DEBUG - x, y, index, #cells, 36, 16, 1316, 4000
DEBUG - x, y, index, #cells, 37, 16, 1317, 4000
DEBUG - x, y, index, #cells, 38, 16, 1318, 4000
DEBUG - x, y, index, #cells, 38, 17, 1398, 4000
DEBUG - x, y, index, #cells, 38, 18, 1478, 4000
DEBUG - x, y, index, #cells, 38, 19, 1558, 4000
DEBUG - x, y, index, #cells, 38, 20, 1638, 4000
DEBUG - x, y, index, #cells, 38, 21, 1718, 4000
DEBUG - x, y, index, #cells, 38, 22, 1798, 4000
DEBUG - x, y, index, #cells, 38, 23, 1878, 4000
DEBUG - x, y, index, #cells, 38, 24, 1958, 4000
DEBUG - x, y, index, #cells, 38, 25, 2038, 4000
DEBUG - x, y, index, #cells, 38, 26, 2118, 4000
DEBUG - x, y, index, #cells, 38, 27, 2198, 4000
DEBUG - x, y, index, #cells, 38, 28, 2278, 4000
DEBUG - x, y, index, #cells, 38, 29, 2358, 4000
DEBUG - x, y, index, #cells, 38, 30, 2438, 4000
DEBUG - x, y, index, #cells, 38, 31, 2518, 4000
DEBUG - x, y, index, #cells, 38, 32, 2598, 4000
DEBUG - x, y, index, #cells, 38, 33, 2678, 4000
DEBUG - x, y, index, #cells, 38, 34, 2758, 4000
DEBUG - x, y, index, #cells, 38, 35, 2838, 4000
DEBUG - x, y, index, #cells, 38, 36, 2918, 4000
DEBUG - x, y, index, #cells, 38, 37, 2998, 4000
DEBUG - x, y, index, #cells, 38, 38, 3078, 4000
DEBUG - x, y, index, #cells, 39, 38, 3079, 4000
DEBUG - x, y, index, #cells, 39, 39, 3159, 4000
DEBUG - x, y, index, #cells, 40, 39, 3160, 4000
DEBUG - x, y, index, #cells, 40, 40, 3240, 4000
DEBUG - x, y, index, #cells, 41, 40, 3241, 4000
DEBUG - x, y, index, #cells, 42, 40, 3242, 4000
DEBUG - x, y, index, #cells, 41, 39, 3161, 4000
DEBUG - x, y, index, #cells, 42, 39, 3162, 4000
DEBUG - x, y, index, #cells, 43, 39, 3163, 4000
DEBUG - x, y, index, #cells, 44, 39, 3164, 4000
DEBUG - x, y, index, #cells, 45, 39, 3165, 4000
DEBUG - x, y, index, #cells, 46, 39, 3166, 4000
DEBUG - x, y, index, #cells, 47, 39, 3167, 4000
DEBUG - x, y, index, #cells, 48, 39, 3168, 4000
DEBUG - x, y, index, #cells, 49, 39, 3169, 4000
DEBUG - x, y, index, #cells, 50, 39, 3170, 4000
DEBUG - x, y, index, #cells, 51, 39, 3171, 4000
DEBUG - x, y, index, #cells, 52, 39, 3172, 4000
DEBUG - x, y, index, #cells, 53, 39, 3173, 4000
DEBUG - x, y, index, #cells, 54, 39, 3174, 4000
DEBUG - x, y, index, #cells, 55, 39, 3175, 4000
DEBUG - x, y, index, #cells, 56, 39, 3176, 4000
DEBUG - x, y, index, #cells, 57, 39, 3177, 4000
DEBUG - x, y, index, #cells, 58, 39, 3178, 4000
DEBUG - x, y, index, #cells, 59, 39, 3179, 4000
DEBUG - x, y, index, #cells, 60, 39, 3180, 4000
DEBUG - x, y, index, #cells, 61, 39, 3181, 4000
DEBUG - x, y, index, #cells, 62, 39, 3182, 4000
DEBUG - x, y, index, #cells, 62, 38, 3102, 4000
